m,k,n,dataflow,loops
32,32,32,ws,nkm
32,32,32,ws,nmk
32,32,32,ws,kmn
32,32,32,ws,knm
32,32,32,ws,mnk
32,32,32,ws,mkn
32,32,32,os,nkm
32,32,32,os,nmk
32,32,32,os,kmn
32,32,32,os,knm
32,32,32,os,mnk
32,32,32,os,mkn
32,32,64,ws,nkm
32,32,64,ws,nmk
32,32,64,ws,kmn
32,32,64,ws,knm
32,32,64,ws,mnk
32,32,64,ws,mkn
32,32,64,os,nkm
32,32,64,os,nmk
32,32,64,os,kmn
32,32,64,os,knm
32,32,64,os,mnk
32,32,64,os,mkn
32,32,128,ws,nkm
32,32,128,ws,nmk
32,32,128,ws,kmn
32,32,128,ws,knm
32,32,128,ws,mnk
32,32,128,ws,mkn
32,32,128,os,nkm
32,32,128,os,nmk
32,32,128,os,kmn
32,32,128,os,knm
32,32,128,os,mnk
32,32,128,os,mkn
32,32,256,ws,nkm
32,32,256,ws,nmk
32,32,256,ws,kmn
32,32,256,ws,knm
32,32,256,ws,mnk
32,32,256,ws,mkn
32,32,256,os,nkm
32,32,256,os,nmk
32,32,256,os,kmn
32,32,256,os,knm
32,32,256,os,mnk
32,32,256,os,mkn
32,64,32,ws,nkm
32,64,32,ws,nmk
32,64,32,ws,kmn
32,64,32,ws,knm
32,64,32,ws,mnk
32,64,32,ws,mkn
32,64,32,os,nkm
32,64,32,os,nmk
32,64,32,os,kmn
32,64,32,os,knm
32,64,32,os,mnk
32,64,32,os,mkn
32,64,64,ws,nkm
32,64,64,ws,nmk
32,64,64,ws,kmn
32,64,64,ws,knm
32,64,64,ws,mnk
32,64,64,ws,mkn
32,64,64,os,nkm
32,64,64,os,nmk
32,64,64,os,kmn
32,64,64,os,knm
32,64,64,os,mnk
32,64,64,os,mkn
32,64,128,ws,nkm
32,64,128,ws,nmk
32,64,128,ws,kmn
32,64,128,ws,knm
32,64,128,ws,mnk
32,64,128,ws,mkn
32,64,128,os,nkm
32,64,128,os,nmk
32,64,128,os,kmn
32,64,128,os,knm
32,64,128,os,mnk
32,64,128,os,mkn
32,128,32,ws,nkm
32,128,32,ws,nmk
32,128,32,ws,kmn
32,128,32,ws,knm
32,128,32,ws,mnk
32,128,32,ws,mkn
32,128,32,os,nkm
32,128,32,os,nmk
32,128,32,os,kmn
32,128,32,os,knm
32,128,32,os,mnk
32,128,32,os,mkn
32,128,64,ws,nkm
32,128,64,ws,nmk
32,128,64,ws,kmn
32,128,64,ws,knm
32,128,64,ws,mnk
32,128,64,ws,mkn
32,128,64,os,nkm
32,128,64,os,nmk
32,128,64,os,kmn
32,128,64,os,knm
32,128,64,os,mnk
32,128,64,os,mkn
32,256,32,ws,nkm
32,256,32,ws,nmk
32,256,32,ws,kmn
32,256,32,ws,knm
32,256,32,ws,mnk
32,256,32,ws,mkn
32,256,32,os,nkm
32,256,32,os,nmk
32,256,32,os,kmn
32,256,32,os,knm
32,256,32,os,mnk
32,256,32,os,mkn
64,32,32,ws,nkm
64,32,32,ws,nmk
64,32,32,ws,kmn
64,32,32,ws,knm
64,32,32,ws,mnk
64,32,32,ws,mkn
64,32,32,os,nkm
64,32,32,os,nmk
64,32,32,os,kmn
64,32,32,os,knm
64,32,32,os,mnk
64,32,32,os,mkn
64,32,64,ws,nkm
64,32,64,ws,nmk
64,32,64,ws,kmn
64,32,64,ws,knm
64,32,64,ws,mnk
64,32,64,ws,mkn
64,32,64,os,nkm
64,32,64,os,nmk
64,32,64,os,kmn
64,32,64,os,knm
64,32,64,os,mnk
64,32,64,os,mkn
64,32,128,ws,nkm
64,32,128,ws,nmk
64,32,128,ws,kmn
64,32,128,ws,knm
64,32,128,ws,mnk
64,32,128,ws,mkn
64,32,128,os,nkm
64,32,128,os,nmk
64,32,128,os,kmn
64,32,128,os,knm
64,32,128,os,mnk
64,32,128,os,mkn
64,64,32,ws,nkm
64,64,32,ws,nmk
64,64,32,ws,kmn
64,64,32,ws,knm
64,64,32,ws,mnk
64,64,32,ws,mkn
64,64,32,os,nkm
64,64,32,os,nmk
64,64,32,os,kmn
64,64,32,os,knm
64,64,32,os,mnk
64,64,32,os,mkn
64,64,64,ws,nkm
64,64,64,ws,nmk
64,64,64,ws,kmn
64,64,64,ws,knm
64,64,64,ws,mnk
64,64,64,ws,mkn
64,64,64,os,nkm
64,64,64,os,nmk
64,64,64,os,kmn
64,64,64,os,knm
64,64,64,os,mnk
64,64,64,os,mkn
64,64,128,ws,nkm
64,64,128,ws,nmk
64,64,128,ws,kmn
64,64,128,ws,knm
64,64,128,ws,mnk
64,64,128,ws,mkn
64,64,128,os,nkm
64,64,128,os,nmk
64,64,128,os,kmn
64,64,128,os,knm
64,64,128,os,mnk
64,64,128,os,mkn
64,128,32,ws,nkm
64,128,32,ws,nmk
64,128,32,ws,kmn
64,128,32,ws,knm
64,128,32,ws,mnk
64,128,32,ws,mkn
64,128,32,os,nkm
64,128,32,os,nmk
64,128,32,os,kmn
64,128,32,os,knm
64,128,32,os,mnk
64,128,32,os,mkn
64,128,64,ws,nkm
64,128,64,ws,nmk
64,128,64,ws,kmn
64,128,64,ws,knm
64,128,64,ws,mnk
64,128,64,ws,mkn
64,128,64,os,nkm
64,128,64,os,nmk
64,128,64,os,kmn
64,128,64,os,knm
64,128,64,os,mnk
64,128,64,os,mkn
128,32,32,ws,nkm
128,32,32,ws,nmk
128,32,32,ws,kmn
128,32,32,ws,knm
128,32,32,ws,mnk
128,32,32,ws,mkn
128,32,32,os,nkm
128,32,32,os,nmk
128,32,32,os,kmn
128,32,32,os,knm
128,32,32,os,mnk
128,32,32,os,mkn
128,32,64,ws,nkm
128,32,64,ws,nmk
128,32,64,ws,kmn
128,32,64,ws,knm
128,32,64,ws,mnk
128,32,64,ws,mkn
128,32,64,os,nkm
128,32,64,os,nmk
128,32,64,os,kmn
128,32,64,os,knm
128,32,64,os,mnk
128,32,64,os,mkn
128,64,32,ws,nkm
128,64,32,ws,nmk
128,64,32,ws,kmn
128,64,32,ws,knm
128,64,32,ws,mnk
128,64,32,ws,mkn
128,64,32,os,nkm
128,64,32,os,nmk
128,64,32,os,kmn
128,64,32,os,knm
128,64,32,os,mnk
128,64,32,os,mkn
128,64,64,ws,nkm
128,64,64,ws,nmk
128,64,64,ws,kmn
128,64,64,ws,knm
128,64,64,ws,mnk
128,64,64,ws,mkn
128,64,64,os,nkm
128,64,64,os,nmk
128,64,64,os,kmn
128,64,64,os,knm
128,64,64,os,mnk
128,64,64,os,mkn
256,32,32,ws,nkm
256,32,32,ws,nmk
256,32,32,ws,kmn
256,32,32,ws,knm
256,32,32,ws,mnk
256,32,32,ws,mkn
256,32,32,os,nkm
256,32,32,os,nmk
256,32,32,os,kmn
256,32,32,os,knm
256,32,32,os,mnk
256,32,32,os,mkn
